,Titulo,Temple anímico,Letra
0,Cenizas,"['Soledad', 'Angustia', 'Culpa']","En una noche callada, te vi partir
se apoderó el tormento de nuestras vidas
pero era tan inmenso mi frenesí
en noches de desvelo te oí venir
y te escuché en silencio mientras llovía



Lloraba con angustia mi herida
sentí que mis esfuerzos fallaban
sabía muy bien que pronto te perdía
sabía muy bien que todo terminaba

Y hoy sólo en mi alma han quedado cenizas
y polvorienta angustia desolada
la soledad cuando viene no avisa
oh! soledad que me partiste el alma

Cenizas de mi mal presuroso huracán de tinieblas y heridas
saliste sin hablar yo no pude evitar lágrimas que corrían


Con tu mirada fría me enseñaste el final
los arroyos corrían esa noche infernal
los arroyos corrían esa noche infernal

Yo sé que todavía no vas a comprender
las razones que a veces obligan a un hombre
y aunque ya para mi llegó el anochecer
en mi esperanza muerta siempre te amaré
y loco por las calles gritaré tu nombre

Palpaba con tristeza tu olvido
mi horizonte de penas se abría
y por lo mal que me porté contigo
me vi humillado en mi melancolía

Borré el camino que había recorrido
llegó la angustia de mi fantasía
y entre mil penas estoy confundido
llegó el ocaso de la vida mía

Cenizas de mi mal presuroso huracán de tinieblas y heridas
"
2,Cruz de dolor,"['Pesar, esperanza']","Por favor, no me digas adiós 
el silencio es mejor, que una cruel despedida 
ve con Dios, tal vez sea lo mejor
separarnos tú y yo, sin rencores ni heridas 

Morirá, aquí en mi corazón
una pobre ilusión, que se aleja contigo
quedará, de lo que antes fue amor
una cruz de dolor señalando tu olvido. 

Con que esperanzas me dejas
si es que tú te alejas para no volver
oye de mi alma esta queja
regresa, regresa, te pido mujer

Pero si estás decidida, a proseguir tu partida
yo te sabré comprender
y aunque te lleves mi vida
en esta cruel despedida, yo te perdono mujer.

Por favor, no me guardes rencor
te lo pido por Dios, no agrandes esta herida 
es mejor, que si hubo un gran amor
no aumentes el dolor, que me da tu partida.
 
Morirá, aquí en mi corazón
una pobre ilusión, que se aleja contigo
quedará, de lo que antes fue amor
una cruz de dolor señalando tu olvido. 

 Con que esperanzas me dejas…

Pero si estás decidida a proseguir tu partida…
"
3,El llanto de un rey,['Desconsuelo ']," Si tú cantaras, esos himnos de mi vida 
si tu pudieras, enamorarte de mi canto triste 
no pensarías marchar, no apagarías mi luz 
no buscarías refugio en las noches, mis noches sin fin. 

Si tú cantaras, esos versos tan bonitos 
si engrandecieras, ese trono que yo quise darte 
no desearías romper, mi pobre alma y seguir 
tantos alardes de ser tan queridos, ya los olvidé. 


Soy rey, y mis escudos te di, como en Jerusalén
 brilló, la estrella de David, y unté tu nombre en mi piel
soy rey, de mis castillos sin fe, quién mató la ilusión
yo sé, que te alejas quizás, más nunca vas a volver
, más nunca vas a volver, más nunca vas a volver. 

Yo inventé un pedestal, yo inventé un corazón, que te quisiera 
la princesa se va, que fue lo que hice yo, por qué me dejas 
pobre del rey, ya no hay llanto que cure su pena
pobre del rey, ya no hay llanto que cure su pena

Si tú cantaras, a mi cielo mis plegarias 
si tú quisieras, devolverte y comenzar de nuevo 
no tendría pa’ que explicar, vivir tan solo sin ti 
y mis historias quedarían perdidas, volví a sonreír. 

Si tú cantaras, a la brisa mis canciones 
si enriquecieras, este reino con una sonrisa 
ya no podrías olvidar, aquel octubre feliz 
cuando llegaste, yo estaba esperando, mil años por ti. 

Soy rey, y mis carrozas dejé, allá en tu manantial 
bebí, sobre tu pecho el caudal, puse mi sombra en tus pies 
soy rey, de una ciudad sin color, y doncella de papel 
no sé, por qué murió tanto amor, y ahora me toca perder, 
y ahora me toca perder, y ahora me toca perder. 

Yo inventé un pedestal, yo inventé un corazón que te quisiera…
"
4,Mi última golondrina,"['Soledad', 'Desolación', '\nConfusión']","Por qué pregunto tuvo que ser así
yo estaba ajeno del mundo y su dolor 
si todo sufrimiento, quedaba en el olvido 

En mi silencio un día te vi venir 
tu vos, tu cuerpo, todo me deslumbró 
pero regresó el silencio si un día tu vuelo nunca volvió 

Por qué te fuiste vida, mi vida mi mundo 
mi última golondrina 
de nuevo mi alma herida, sin rumbo tu vida
 perdimos la partida 





Como hago pa’ poder olvidarte mi amor 
enséñame cual es el camino final 
en un túnel se ha quedado mi corazón 
y no encuentro forma de poderte olvidar 

Volando va
 mi alma por este mundo 
con un dolor profundo
 y quien la curará 

Como hago pa’ poder olvidarte mi amor… 

En desbandada mil palomas veo pasar 
vuelan veloces como anunciando el adiós 
parece que supieran, que ya me encuentro solo 

Llego a mi casa y ya no me provoca entrar 
casi que lloro al ver la foto de los dos 
te me fuiste compañera, y hoy en tinieblas, queda mi voz 

Por qué me ilusionaste cariño, 
si todo, todo se acabaría
 por qué no me dejaste tranquilo
 si solo  muy bien que yo vivía. 

Como hago pa’ poder olvidarte mi amor… 

Que soledad, me espera en el camino 
cuál va a ser mi destino, quien sabe cuál será. 

Como hago pa’ poder olvidarte mi amor…
"
5,Mis hojas secas,"['Pena', 'Resignación', 'Culpa']","Hoy que te vas de mí, 
hoy que quieres volver
: al mundo que adorabas
y que por culpa mía lo perdiste

No me digas adiós
 no me pidas perdón
: mejor no digas nada
 porque no quiero ni despedirme

Hoy que te vas de mí
no pude comprender
: si en verdad te hice daño 
 por Dios perdona no quise herirte




Quería que fueras sol,
quería que fueras luz
: y una vela apagada
 encontré en tus ojos tenías que irte

Si te acuerdas de mi será por bien
yo sabía que era triste un día me voy
: si te acuerdas de mi sabrás mujer
que sufrí por quererte y por tu amor

Ahí te dejo mi voz y mi canción
pa´que nunca te olvides de la cruz
que le queda a mi pecho al despertar
no te vayas tan lejos por favor
pa´que lleves contigo mi alma gris
y la limpie tu risa angelical

Llévate, llévate
: mis hojas secas y los recuerdos que más me hieran
Llévate, llévate
: mis hojas secas y los recuerdos que más me hieran 

Pido que seas feliz, tú te mereces más 
: que la lucha de un hombre con un pasado que lo persigue 
no me arrepentiré, de lo que ya viví 
: pero quedó una sombra quiero arrancarla y me es imposible 

Si te acuerdas de mí
 podré cantar cada noche a la luna mi misión
 : si te acuerdas de mi me esperarás, despacito se cura este dolor 

Ahí te dejo mi voz y mi canción 
pa´que nunca te olvides de la cruz 
que le queda a mi pecho al despertar
 
Llévate, llévate mis hojas secas…
"
6,Último adiós,"['Desdicha', 'Decepción', '\nResignación ']","Siento morir, que noble soy
fallan mis fuerzas, pa´ resistir, este dolor
lleno de amor, y de rogar
grande atención, y hoy un clamor, me hace llorar

Tengo 
tengo el alma destrozada
porque he perdido a mi amada
cuando menos lo pensé



Siento
que ya mi vida se acaba
mis alegrías desplomada
vivo ausente del placer


Y aun no conozco el valor
para pagar el orgullo
que yo sentí al lado tuyo
reinas en mi corazón

Duras huellas son testigo
de lo afligido que vivo yo
para un mundo desconocido
se fue mi amada sin mi partió

Ya se acabó, mi dulce amor
quien me enseñara, a ser más bueno, que decepción
como te va, dame valor
yo le gritaba, me dejas solo, adiós, adiós

Linda
cual nieve recién caída
qué bonita se veía, mi amada cuando partió
pero, sé que el tiempo va pasando
poco a poco irá llegando, a mí la resignación

Duras huellas son testigo…
"
7,Uno es así,"['Pena', 'Soledad', 'Amargura', 'Culpa\nMotivo lírico: Abandono ']","Vuelen gaviotas a ver lo que el viento dejó
después de aquel verano 
muevan palmeras también si pueden alegrar
lo que esta marchitado
y un hombre descuidado, que no le dio el valor 
a una mujer llorando, que tanto tiempo lo amó
a una mujer llorando, que tanto tiempo lo amó

Pero un silencio elocuente puso de presente
 la nueva situación 
por qué él pensó encontrarla normalmente
 y aquel adiós le hizo bajar la frente, quiso llorar



 y se aguantó tratando de ser fuerte 
pero el dolor le obliga interiormente, no pudo más 

Fallan las fuerzas de un hombre, se cierran sus ojos, se siente morir, 
porque al terminar el goce, se siente muy solo, y ella es muy feliz
porque al terminar el goce, se siente muy solo, y ella es muy feliz
 
Tanto amor por ella, que no me da pena 
ay que a mí me vean


que a mí me vean, que estoy sufriendo es por ella
que a mi vean, que estoy sufriendo es por ella

Pasen los meses volando para con los años
salir de esta amargura
yo reconozco lo malo pero un hombre sano
tan solo quiere a una
 
Yo la estoy adorando, mi fortuna es ninguna 
con devoción reclamo, Virgen del Carmen tu ayuda
con devoción reclamo, Virgen del Carmen tu ayuda

Hoy estará en otros brazos tal vez disfrutando, tal vez recordará 
recordará mis besos mi entusiasmo
olvidará la vez en que escapamos, tiempo feliz 
yo reconozco que no valoramos
 cuando es preciso el amor lo negamos, uno es así

Es bueno que me suceda es la mejor manera para razonar 
que no era la compañera con la que uno sueña con quien vivirá
que no era la compañera con la que uno sueña, con quien vivirá

Tanto amor por ella…

que a mí me vean, que estoy sufriendo es por ella…
"
8,Adiós mi primer amor,"['Despecho', 'Martirio']","Como nacen del dolor mil destellos de ilusión
y de una espina una flor nació del martirio este canto
hoy comprendo que sufrir nos da fe y resignación
y se enseña al corazón a no padecer desencantos


Adiós mi primer amor


Datos  
identificadores

Autor: Tomás Darío Gutiérrez
Interpretación: Freddy Peralta & Poncho López
Álbum/Año: Embrujo de acordeón ()
Sello discográfico/Serial: CBS --

Expresión lírica, 
poética  
y musical

Temple anímico: Despecho; Martirio
Actitud lírica: Carmínica; Apostrófica
Figuras literarias: Metáfora; Hipérbole; 
Símil; Apóstrofe; Prosopopeya
Ritmo/Tempo: Paseo / Normal
Sentimiento estético: Muy alto

Enlace para  
escuchar canto

https://www.youtube.com/watch?v=eRHPLROoGA

Bien mujer sigue tu rumbo sin mí, 
y en mi senda tu huella se borró
si de mí no quisiste ni el perdón, en el alma me lo guardo

Amarás, a quien profane en tu alma mi tumba
amaré, los suspiros que destruyan tu nombre
madre de mi amor sublime eres tu
ya que el sueño que hoy es vana ilusión
el jardín donde floreció el dolor y de mi llanto de hombre

Adiós mi primer amor, adiós sueños sin vivir
un día me hiciste feliz como lo anhelaba yo tanto
luego me hiciste sufrir, fuiste todo para mi
masacraste una ilusión te hiciste mi risa y mi llanto

hoy pago el suplicio eterno de amar
la condena de todo hombre que es fiel
el error de bendecir la mujer y el pecado de adorarte

Amaras, a quien profane en tu alma mi tumba
amaré, los suspiros que destruyan tu nombre
amo al viento que se lleva tu voz
el camino que tu adiós me trazó
la experiencia que me dio tu traición
y aquel vano juramento
"
9,El adiós,"['Desconsuelo', 'Nostalgia']","Ya casi está amaneciendo 
y sólo se oye el rumor 
que deja el pasar el viento 
y entonces yo siento 
que mi corazón 

Se me quiebra en mil pedazos 
hasta me tiembla la voz
y aunque la tenga en mis brazos 
siento paso a paso que aumenta el dolor
y aunque la tenga en mis brazos 
siento paso a paso que aumenta el dolor




Porque tengo que marcharme 
alejarme de mi amor 
y aunque quisiera quedarme 
tengo que decirle adiós.

Adiós, adiós, adiós mi amor 
nunca me olvides mi negra 
me llevaré tu corazón 
y te dejo mi alma buena .

Así rendida en mi pecho
sollozando amargamente 
me dijo en son de reproche
 ¡por Dios! que esta noche quisiera la muerte 

Pierde sentido la vida
cuando se aleja el amor
Ya con la calma perdida y el alma partida 
llora el corazón .

Ahora que más la quería 
con todo mi corazón 
se acaba la vida mía 
al darle mi triste adiós. 

Adiós, adiós, adiós mi amor… 
nunca me olvides mi negra 
me llevaré tu corazón 
y te dejo mi alma buena .
"
10,El verdadero culpable,"['Desconsuelo', 'Nostalgia']","Yo iba a buscarte aquel día, de un cielo pardo y oscuro 
hablarte de mi última pena, confidente y amiga 
en mi alma nunca morían, las esperanzas que el tiempo 
te hicieran recoger la queja, de mi amor en silencio. 

Yo iba a buscarte aquel día, llevaba un presentimiento 
tu novio encontraba la forma, de que yo no te viera, 
sabía que yo te quería, y tú no te dabas cuenta 
me dolían tus encantamientos, y él siempre te mentía.

Por qué
: las piedras se atravesaron, por qué 
Callé,
: no quería mirarte herida quizás. 



Yo no pude creer, que tu hubieras tenido que partir 
donde está la razón, el secreto murió con tu adiós 
no hubo tiempo e´ gritar, me atraganto con mi confesión 
tanto amor para que, si entregaste tu vida a un don Juan. 

Donde estará el verdadero culpable de un destino tan cruel 
yo sufría tanto al mirarte entregada y él se reía de ti 
yo no podía ni siquiera decirte él te va a hacer morir 
y ahora que vives en mi pensamiento lo puedes comprender. 


Yo no te olvido, te llevo siempre
 vives conmigo, aquí en mi mente
vives conmigo, aquí en mi mente.

Yo iba a buscarte aquel día, se oscureció más la tarde 
el mismo aguacero deseaba impedirme el camino, 
era tan negro el presagio, que fui a encontrarte durmiendo 
el sueño de aquellos que esperan, despertar en lo eterno. 

Yo iba a buscarte aquel día, quería desahogar mi pecho 
sabiendo que era un imposible, cambiar tu sentimiento 
ya tu alma no se aguantaba, tanto desprecios y engaños 
que quiso volar escondida, y guardar su secreto. 

Por qué
: el tiempo se robó tu juventud, 
adiós,
 : que seas lo que aquí no pudiste ser. 

Yo sé que ahora estarás, en el cielo cuidando mi andar 
más cerquita de mí, sintiendo cada paso que doy 
cuanto me hace vivir, que tu espíritu pueda escuchar 
mis canciones, mi voz, y las penas de mi corazón. 

Donde estará el verdadero culpable de un destino tan cruel… 

Yo no te olvido, te llevo siempre…
"
